country,year,life_expectancy,population,annual_co2_emissions_scaled,animal_protein_per_day_person_scaled,fat_per_day_person_scaled,carbs_per_day_person_scaled,fertility rate_scaled,rural population_by_pop_scaled,fixed_line_subscription_per_hundred_scaled,mobile_line_subscription_per_hundred_scaled
Denmark,2009.0,79.0,5526455.0,4.612982490960711e-05,0.1008014822103212,0.085153942310339,0.3836638781840399,0.6404078497101753,0.7647138468754147,0.0033856604259618,0.0003787665993188
Denmark,2010.0,79.2,5550850.0,4.90163030815564e-05,0.0971017118647013,0.0830997703499976,0.3823525650569706,0.6228228228228228,0.7619327013345581,0.0034933148153951,0.0010269482756174
Denmark,2011.0,79.8,5576016.0,5.035337366136534e-05,0.093139184898657,0.0770291796366201,0.3895361444480716,0.6023744674907465,0.7591410895080466,0.0037104808513565,0.0017580617452231
Denmark,2012.0,80.1,5600955.0,4.680491314515503e-05,0.0749551239720786,0.0704519396778074,0.3920184393441778,0.5912144702842378,0.7563287426854063,0.0038238416974054,0.0039886474454379
Denmark,2013.0,80.3,5625393.0,3.322707493765263e-05,0.0735184818482896,0.0687554066390413,0.3678107280808536,0.577554298484531,0.7534952425447975,0.003781671950212,0.004279429853619
Denmark,2014.0,80.6,5650654.0,4.5333062226556096e-05,0.0721654356219999,0.0734054776981988,0.3794071398791758,0.5701375794399051,0.7506517202266983,0.0036789559499536,0.0072316819061584
Denmark,2015.0,80.7,5677795.0,4.826311883537706e-05,0.0713478795704065,0.0713135982886864,0.3830636672270006,0.564648369299532,0.7477870894575825,0.0035191181614207,0.0082664849537374
Denmark,2016.0,80.9,5706856.0,4.655994623887887e-05,0.0780466575855162,0.0763826945822385,0.4217852473286518,0.5593267686290941,0.7415059450166371,0.005377710621598,0.0122694070248817
Denmark,2017.0,81.1,5737286.0,4.4964074756435375e-05,0.0791389343387594,0.0870208885882745,0.4241464082946382,0.5539073957678609,0.7351415103864916,0.0073397176732887,0.0244229921650645
Denmark,2018.0,81.0,5766689.0,4.649158526272189e-05,0.0793460653727043,0.0820654354100758,0.4349713042919592,0.5456526293735596,0.7287041605317673,0.0073523463650672,0.0502909102838125
Denmark,2019.0,81.4,5795879.0,4.799986840175005e-05,0.0773777837781012,0.0812629964606315,0.4168905165472782,0.5366855227320343,0.7221732734882806,0.0087924917446973,0.106506827248336
Denmark,2020.0,81.5,5825638.0,4.601567421450946e-05,0.0767273443976423,0.0706858673057851,0.4282822580039245,0.5278860255604442,0.7156003196440605,0.0096447541475204,0.134458890424501
Djibouti,1975.0,49.9,208591.0,1.976403462975588e-05,0.0221539645714256,0.0778208431922347,0.3400215618395613,0.7987848313429708,0.9212312833134488,0.003055366808878,0.0
Djibouti,1976.0,50.1,229316.0,2.0995853576452112e-05,0.0200627464079409,0.0743803100904517,0.3373441033152824,0.7859347719812836,0.9178462648759212,0.003178760234991,0.0
Djibouti,1977.0,50.6,253092.0,2.09974715877221e-05,0.0203806415214022,0.0620535167186722,0.2692263543885059,0.7762832600041901,0.9143773400279094,0.0033318499711766,0.0
Djibouti,1978.0,51.0,278438.0,2.3525614197078087e-05,0.0192986155406086,0.0651657346287467,0.2993160226302715,0.7674697953767721,0.9108361348331028,0.0034951729477806,0.0
Djibouti,1979.0,51.5,302869.0,2.406791764106901e-05,0.0158367697432403,0.0620089042736938,0.3341839490795892,0.756714854389273,0.9072009684563638,0.003572352456214,0.0
Djibouti,1980.0,51.9,324130.0,2.4344651501945928e-05,0.0151353769959904,0.0842336748151219,0.3858706010558278,0.7438787624834137,0.9034926558719792,0.0037150539161461,1.7068391954444822e-05
Djibouti,1981.0,52.3,341325.0,2.4217799418378884e-05,0.021412419330389,0.0749692342254081,0.3983399744882744,0.7297017948180738,0.8996802336091332,0.0037640446930347,0.0001621519489646
Djibouti,1982.0,52.8,355119.0,2.5352915224838848e-05,0.0169440034155283,0.0805306875803362,0.4230263947767049,0.7218660520986102,0.8957944081980692,0.0038251942400981,0.0003008749585081
Djibouti,1983.0,53.2,367734.0,2.4783806727475125e-05,0.0130008947567272,0.0880240224624117,0.4590105320585546,0.7185557650673929,0.8918151064170394,0.0038097619927494,0.0004420704863132
Djibouti,1984.0,53.7,382169.0,2.4866244401681007e-05,0.0146129341401755,0.0904925970389117,0.4973779717488075,0.7069488092743906,0.8903783209159001,0.0041437683734423,0.0009264471567734
